,ID,番組名,内容,タイプ,タイプID,使用トピック,,,,,,,,,,
,1,たたかう　トレーナー,戦闘に関するインタビュー番組,質問,1,2,7,9,11,14,16,19,0,0,0,0
,2,トレーナーリサーチ,戦闘以外のインタビュー番組,質問,1,4,6,10,13,15,16,17,18,0,0,0
,3,バトルウオッチ,戦闘中にやっちゃったあんなことこんなこと,監視,2,1,2,8,21,10,6,0,0,0,0,0
,4,トレーナーの　にちじょう,戦闘以外でやっちゃったあんなことこんなこと,監視,2,3,18,19,4,20,7,16,25,26,0,0
,5,シンオウ　ニュース　ネット,地下やサファリの、熱い戦いレポート,監視,2,13,22,23,15,0,0,0,0,0,0,0
,6,きろくでゴン！,新記録、珍しい記録を紹介,ギネス,3,1,3,4,8,9,5,7,10,11,0,0
,7,シンオウ・ナウ！,シンオウでおこっているできごと紹介（ニュース）,イベント,4,1,2,5,12,0,0,0,0,0,0,0
,8,トレンドつうしん,シンオウのトレンドを紹介（クリップ、グループ）,イベント,4,2,9,17,15,3,0,0,0,0,0,0
,9,バラエティアワー,娯楽番組,バラエティ,5,1,2,3,4,5,6,7,8,0,0,0



,,,,,,,,,,,,,,,,
